name,source,gender,wikidata,type
"Abandoibarra etorbidea",wikidata,-,Q2820167,way
"Abandoibarra etorbidea - Avenida Abandoibarra",wikidata,-,Q2820167,way
"Adiskidetasun kalea",wikidata,-,Q491,way
"Altxerri kobaren kalea",wikidata,-,Q361060,way
"Anboto kalea",wikidata,-,Q458478,way
"Andaluzia kalea",wikidata,-,Q5783,way
"Araba kalea",wikidata,-,Q81801,way
"Aragoi kalea",wikidata,-,Q4040,way
"Asturias kalea",wikidata,-,Q3934,way
"Autonomia kalea",wikidata,-,Q484105,way
"Avila kalea",wikidata,-,Q15688,way
"Badajoz kalea",wikidata,-,Q15679,way
"Bailen kalea",wikidata,-,Q1364346,way
"Banco Bilbao kalea",wikidata,-,Q8241304,way
"Banco España Kalea",wikidata,-,Q789966,way
"Baso bidea",wikidata,-,Q4421,way
"Baztan haranaren plaza",wikidata,-,Q641755,way
"Benidorm kalea",wikidata,-,Q487981,way
"Bergara etorbidea",wikidata,-,Q1382252,way
"Biarritz kalea",wikidata,-,Q132790,way
"Bilbo Zaharra kalea",wikidata,-,Q860482,way
"Bizkaia plaza",wikidata,-,Q93366,relation
"Buenos Aires kalea",wikidata,-,Q1486,way
"Burgos kalea",wikidata,-,Q9580,way
"Burgos kalearen atzealdea",wikidata,-,Q9580,way
"Caceres kalea",wikidata,-,Q15678,way
"Calle Canal de Deusto",wikidata,-,Q20492309,way
"Calle Esperanto",wikidata,-,Q143,way
"Calle Gasteiz",wikidata,-,Q14318,way
"Calle Islas Canarias - Kanariar Uharteen kalea",wikidata,-,Q5813,way
"Calle Nuestra Señora de Montserrat",wikidata,-,Q301779,way
"Calle Zumarraga",wikidata,-,Q844508,way
"Campo Volantin pasealekua",wikidata,-,Q18222404,way
"Cantabria kalea",wikidata,-,Q3946,way
"Catalunya kalea",wikidata,-,Q5705,way
"Circunvalación sur de Bilbao",wikidata,-,Q85866556,way
"Colombo kalea",wikidata,-,Q371207,way
"Deustuko kanaleko kalea",wikidata,-,Q20492309,way
"Deustuko zubia",wikidata,-,Q2007981;Q3396958,way
"Diputazio kalea",wikidata,-,Q3042544,way
"Donostia-San Sebastian kalea",wikidata,-,Q10313,way
"Dorre kalea",wikidata,-,Q12518,way
"Ekain koben kalea",wikidata,-,Q1414019,way
"Enkarterri kalea",wikidata,-,Q582166,way
"Errege Katolikoen etorbidea",wikidata,-,Q186851,way
"Erriberri kalea",wikidata,-,Q837062,way
"Errioxa kalea",wikidata,-,Q5727,way
"Erronkari kalea",wikidata,-,Q578795,way
"Euskadi plaza",wikidata,-,Q3995,way
"Extremadura kalea",wikidata,-,Q5777,way
"Foru kalea",wikidata,-,Q5467181,way
"Frank Gehry zubia",wikidata,-,Q20493009,way
"Galizia kalea",wikidata,-,Q3908,way
"Ganekogorta mendiaren kalea",wikidata,-,Q557130,way
"Gas plaza",wikidata,-,Q24068063,way
"Gasteiz kalea",wikidata,-,Q24008392,way
"Gipuzkoa kalea",wikidata,-,Q95010,way
"Goikolau Kobaren kalea",wikidata,-,Q11044871,way
"Hernani kalea",wikidata,-,Q1441329,way
